Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
2.80E+00,0.9257,0,0,5.95E-06,0,,
2.90E+00,0.9141,0,0,5.85E-06,0,,
3.00E+00,0.9033,0,0,5.75E-06,0,,
3.10E+00,0.8931,0,0,5.66E-06,0,,
3.20E+00,0.8842,0,0,5.57E-06,0,,
3.30E+00,0.8758,0,0,5.48E-06,0,,
3.40E+00,0.8686,0,0,5.40E-06,0,,
3.50E+00,0.862,0,0,5.32E-06,0,,
3.60E+00,0.8564,0,0,5.25E-06,0,,
3.70E+00,0.8516,0,0,5.18E-06,0,,
3.80E+00,0.8477,0,0,5.11E-06,0,,
3.90E+00,0.8446,0,0,5.04E-06,0,,
4.00E+00,0.8425,0,0,4.98E-06,0,,
4.10E+00,0.841,0,0,4.92E-06,0,,
4.20E+00,0.8408,0,0,4.86E-06,0,,
4.30E+00,0.8408,0,0,4.80E-06,0,,
4.40E+00,0.8426,0,0,4.75E-06,0,,
4.50E+00,0.8444,0,0,4.69E-06,0,,
4.60E+00,0.8476,0,0,4.64E-06,0,,
4.70E+00,0.8516,0,0,4.59E-06,0,,
4.80E+00,0.8559,0,0,4.54E-06,0,,
4.90E+00,0.862,0,0,4.50E-06,0,,
5.00E+00,0.8682,0,0,4.45E-06,0,,
5.10E+00,0.8756,0,0,4.41E-06,0,,
5.20E+00,0.8841,0,0,4.37E-06,0,,
5.30E+00,0.8926,0,0,4.33E-06,0,,
5.40E+00,0.903,0,0,4.28E-06,0,,
5.50E+00,0.914,0,0,4.25E-06,0,,
5.60E+00,0.925,0,0,4.21E-06,0,,
5.70E+00,0.938,0,0,4.17E-06,0,,
5.80E+00,0.9517,0,0,4.13E-06,0,,
5.90E+00,0.9653,0,0,4.10E-06,0,,
6.00E+00,0.9808,0,0,4.07E-06,0,,
6.10E+00,0.9972,0,0,4.03E-06,0,,
6.20E+00,1.0136,0,0,4.00E-06,0,,
6.30E+00,1.0311,0,0,3.97E-06,0,,
6.40E+00,1.0504,0,0,3.94E-06,0,,
6.50E+00,1.0698,0,0,3.91E-06,0,,
6.60E+00,1.0891,0,0,3.88E-06,0,,
6.70E+00,1.1334,0,0,3.85E-06,0,,
6.80E+00,1.1809,0,0,3.82E-06,0,,
6.90E+00,1.2285,0.0604,0,3.79E-06,0,,
7.00E+00,1.2763,0.136,0,3.76E-06,0,,
7.10E+00,1.3249,0.2147,0,3.74E-06,0,,
7.20E+00,1.3736,0.2935,0,3.71E-06,0,,
7.30E+00,1.4223,0.3722,0,3.69E-06,0,,
7.40E+00,1.4763,0.451,0,3.66E-06,0,,
7.50E+00,1.5403,0.5297,0,3.64E-06,0,,
7.60E+00,1.6043,0.6085,0,3.61E-06,0,,
7.70E+00,1.6683,0.6872,0,3.59E-06,0,,
7.80E+00,1.7362,0.766,0,3.57E-06,0,,
7.90E+00,1.8149,0.8447,0,3.54E-06,0,,
8.00E+00,1.8937,0.9235,0,3.52E-06,0,,
8.10E+00,1.9724,0.9979,0,3.50E-06,0,,
8.20E+00,2.0512,1.0724,0,3.48E-06,0,,
8.30E+00,2.1398,1.1468,0,3.46E-06,0,,
8.40E+00,2.2289,1.2212,0,3.44E-06,0,,
8.50E+00,2.3179,1.2957,0,3.42E-06,0,,
8.60E+00,2.407,1.3701,0,3.40E-06,0,,
8.70E+00,2.497,1.4445,0,3.38E-06,0,,
8.80E+00,2.5882,1.519,0,3.36E-06,0,,
8.90E+00,2.6794,1.5934,0,3.34E-06,0,,
9.00E+00,2.7706,1.6679,0,3.32E-06,0,,
9.10E+00,2.8618,1.7294,0,3.30E-06,0,,
9.20E+00,2.9486,1.791,0,3.28E-06,0,,
9.30E+00,3.0325,1.8525,0,3.27E-06,0,,
9.40E+00,3.1164,1.9141,0,3.25E-06,0,,
