Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
1.20E+00,0.0446,0,0,4.54E-06,0,,
1.30E+00,0.0436,0,0,4.37E-06,0,,
1.40E+00,0.0427,0,0,4.21E-06,0,,
1.50E+00,0.0444,0,0,4.07E-06,0,,
1.60E+00,0.0458,0,0,3.94E-06,0,,
1.70E+00,0.0472,0,0,3.82E-06,0,,
1.80E+00,0.0486,0,0,3.71E-06,0,,
1.90E+00,0.05,0,0,3.61E-06,0,,
2.00E+00,0.0515,0,0,3.52E-06,0,,
2.10E+00,0.053,0,0,3.44E-06,0,,
2.20E+00,0.0545,0,0,3.36E-06,0,,
2.30E+00,0.056,0,0,3.28E-06,0,,
2.40E+00,0.0575,0,0,3.21E-06,0,,
2.50E+00,0.0591,0,0,3.15E-06,0,,
2.60E+00,0.0606,0,0,3.09E-06,0,,
2.70E+00,0.0622,0,0,3.03E-06,0,,
2.80E+00,0.0638,0,0,2.98E-06,0,,
2.90E+00,0.0654,0,0,2.92E-06,0,,
3.00E+00,0.0671,0,0,2.87E-06,0,,
3.10E+00,0.0687,0,0,2.83E-06,0,,
3.20E+00,0.0704,0,0,2.78E-06,0,,
3.30E+00,0.0721,0,0,2.74E-06,0,,
3.40E+00,0.0738,0,0,2.70E-06,0,,
3.50E+00,0.0755,0,0,2.66E-06,0,,
3.60E+00,0.0772,0,0,2.62E-06,0,,
3.70E+00,0.0789,0,0,2.59E-06,0,,
3.80E+00,0.0806,0,0,2.55E-06,0,,
3.90E+00,0.0824,0,0,2.52E-06,0,,
4.00E+00,0.0841,0,0,2.49E-06,0,,
4.10E+00,0.0859,0,0,2.46E-06,0,,
4.20E+00,0.0876,0,0,2.43E-06,0,,
4.30E+00,0.0894,0,0,2.40E-06,0,,
4.40E+00,0.0911,0,0,2.37E-06,0,,
4.50E+00,0.0929,0,0,2.35E-06,0,,
4.60E+00,0.0947,0,0,2.32E-06,0,,
4.70E+00,0.0964,0,0,2.30E-06,0,,
4.80E+00,0.0982,0,0,2.27E-06,0,,
4.90E+00,0.1,0,0,2.25E-06,0,,
5.00E+00,0.1017,0,0,2.23E-06,0,,
5.10E+00,0.1035,0,0,2.20E-06,0,,
5.20E+00,0.1052,0,0,2.18E-06,0,,
5.30E+00,0.107,0,0,2.16E-06,0,,
5.40E+00,0.1087,0,0,2.14E-06,0,,
5.50E+00,0.1104,0,0,2.12E-06,0,,
5.60E+00,0.1121,0,0,2.10E-06,0,,
5.70E+00,0.1139,0,0,2.09E-06,0,,
5.80E+00,0.1155,0,0,2.07E-06,0,,
5.90E+00,0.1172,0,0,2.05E-06,0,,
6.00E+00,0.1189,0,0,2.03E-06,0,,
6.10E+00,0.1206,0,0,2.02E-06,0,,
6.20E+00,0.1222,0,0,2.00E-06,0,,
6.30E+00,0.1238,0,0,1.98E-06,0,,
6.40E+00,0.1255,0,0,1.97E-06,0,,
6.50E+00,0.1271,0,0,1.95E-06,0,,
6.60E+00,0.1286,0,0,1.94E-06,0,,
6.70E+00,0.1302,0,0,1.92E-06,0,,
6.80E+00,0.1318,0,0,1.91E-06,0,,
6.90E+00,0.1333,0,0,1.90E-06,0,,
7.00E+00,0.1348,0,0,1.88E-06,0,,
7.10E+00,0.1363,0,0,1.87E-06,0,,
7.20E+00,0.1378,0,0,1.86E-06,0,,
7.30E+00,0.1392,0,0,1.84E-06,0,,
7.40E+00,0.1406,0,0,1.83E-06,0,,
7.50E+00,0.142,0,0,1.82E-06,0,,
7.60E+00,0.1434,0,0,1.81E-06,0,,
7.70E+00,0.1448,0,0,1.79E-06,0,,
7.80E+00,0.1461,0,0,1.78E-06,0,,
7.90E+00,0.1474,0,0,1.77E-06,0,,
8.00E+00,0.1487,0,0,1.76E-06,0,,
8.10E+00,0.15,0,0,1.75E-06,0,,
8.20E+00,0.1513,0,0,1.74E-06,0,,
8.30E+00,0.1525,0,0,1.73E-06,0,,
8.40E+00,0.1537,0,0,1.72E-06,0,,
8.50E+00,0.1549,0,0,1.71E-06,0,,
8.60E+00,0.156,0,0,1.70E-06,0,,
8.70E+00,0.1572,0,0,1.69E-06,0,,
8.80E+00,0.1583,0,0,1.68E-06,0,,
8.90E+00,0.1594,0,0,1.67E-06,0,,
9.00E+00,0.1604,0,0,1.66E-06,0,,
9.10E+00,0.1615,0,0,1.65E-06,0,,
9.20E+00,0.1625,0,0,1.64E-06,0,,
9.30E+00,0.1635,0,0,1.63E-06,0,,
9.40E+00,0.1645,0,0,1.62E-06,0,,
9.50E+00,0.1654,0,0,1.62E-06,0,,
9.60E+00,0.1663,0,0,1.61E-06,0,,
9.70E+00,0.1673,0,0,1.60E-06,0,,
9.80E+00,0.1681,0,0,1.59E-06,0,,
9.90E+00,0.169,0,0,1.58E-06,0,,
10,0.1699,0,0,1.57E-06,0,,
11,0.1772,0,0,1.50E-06,0,,
12,0.1829,0,0,1.44E-06,0,,
13,0.1871,0,0,1.38E-06,0,,
14,0.1924,0,0,1.33E-06,0,,
15,0.1925,0,0,1.29E-06,0,,
16,0.1942,0,0,1.24E-06,0,,
17,0.1995,0,0,1.21E-06,0,,
18,0.2119,0,0,1.17E-06,0,,
19,0.2353,0,0,1.14E-06,0,,
20,0.2622,0.0232,0,1.11E-06,0,,
21,0.2799,0.0986,0,1.09E-06,0.0148,,
22,0.3355,0.1451,0,1.06E-06,0.068,,
23,0.3893,0.1829,0,1.04E-06,0.0955,,
24,0.4414,0.2152,4.56E-05,1.02E-06,0.1473,,
25,0.4917,0.2435,7.12E-03,9.96E-07,0.1822,,
26,0.5404,0.2689,0.0107,9.76E-07,0.1975,,
27,0.5876,0.292,0.0146,9.58E-07,0.2128,,
28,0.6335,0.3132,0.019,9.41E-07,0.2281,,
29,0.6781,0.3323,0.0237,9.24E-07,0.2435,,
30,0.7215,0.3493,0.0288,9.09E-07,0.2588,,
31,0.7637,0.365,0.0343,8.94E-07,0.2646,,
32,0.8048,0.3794,0.0404,8.80E-07,0.2704,,
33,0.845,0.3918,0.0469,8.67E-07,0.2762,,
34,0.8686,0.4034,0.0539,8.54E-07,0.282,,
35,0.8837,0.4136,0.0615,8.42E-07,0.2878,,
36,0.9024,0.4224,0.0696,8.30E-07,0.29,,
37,0.9194,0.4307,0.0782,8.18E-07,0.2923,,
38,0.9348,0.4371,0.0874,8.08E-07,0.2945,,
39,0.949,0.4432,0.0972,7.97E-07,0.2968,,
40,0.9621,0.4478,0.1075,7.87E-07,0.299,,
41,0.9742,0.4518,0.1183,7.78E-07,0.2998,,
42,0.9854,0.4548,0.1296,7.68E-07,0.3005,,
43,0.9957,0.4571,0.1413,7.59E-07,0.3013,,
44,1.0053,0.4583,0.1535,7.51E-07,0.3021,,
45,1.0142,0.4592,0.166,7.42E-07,0.3028,,
46,1.0225,0.4589,0.1789,7.34E-07,0.3026,,
47,1.0302,0.4585,0.192,7.26E-07,0.3024,,
48,1.0373,0.4568,0.2052,7.19E-07,0.3023,,
49,1.044,0.4551,0.2186,7.11E-07,0.3021,,
50,1.0501,0.4523,0.2236,7.04E-07,0.3019,,
51,1.0558,0.4493,0.2309,6.97E-07,0.3014,,
52,1.061,0.4458,0.2381,6.90E-07,0.3009,,
53,1.0659,0.4416,0.2453,6.84E-07,0.3004,,
54,1.0704,0.4373,0.2524,6.77E-07,0.2999,,
55,1.0745,0.4322,0.2594,6.71E-07,0.2994,,
56,1.0783,0.427,0.2663,6.65E-07,0.2984,,
57,1.0817,0.4215,0.2731,6.59E-07,0.2973,,
58,1.0848,0.4153,0.2799,6.54E-07,0.2963,,
59,1.0876,0.4092,0.2865,6.48E-07,0.2953,,
60,1.0901,0.4027,0.2931,6.43E-07,0.2943,,
61,1.0924,0.3959,0.2995,6.37E-07,0.2932,,
62,1.0943,0.389,0.3059,6.32E-07,0.2921,,
63,1.0961,0.3819,0.3121,6.27E-07,0.291,,
64,1.0975,0.3745,0.3182,6.22E-07,0.2899,,
65,1.0988,0.3671,0.3243,6.18E-07,0.2889,,
66,1.0998,0.3595,0.3302,6.13E-07,0.2878,,
67,1.1006,0.3517,0.336,6.08E-07,0.2868,,
68,1.1012,0.344,0.3416,6.04E-07,0.2857,,
69,1.1016,0.3361,0.3472,5.99E-07,0.2847,,
70,1.1018,0.3282,0.3527,5.95E-07,0.2836,,
71,1.1018,0.3202,0.358,5.91E-07,0.2825,,
72,1.1017,0.3123,0.3632,5.87E-07,0.2814,,
73,1.1014,0.3043,0.3683,5.83E-07,0.2803,,
74,1.1009,0.2963,0.3733,5.79E-07,0.2792,,
75,1.1002,0.2884,0.3782,5.75E-07,0.2781,,
76,1.0994,0.2805,0.383,5.71E-07,0.2769,,
77,1.0984,0.2726,0.3876,5.67E-07,0.2758,,
78,1.0974,0.2648,0.3921,5.64E-07,0.2746,,
79,1.0961,0.257,0.3965,5.60E-07,0.2734,,
80,1.0948,0.2494,0.4008,5.57E-07,0.2722,,
81,1.0933,0.2419,0.405,5.53E-07,0.271,,
82,1.0916,0.2344,0.4091,5.50E-07,0.2697,,
83,1.0899,0.2268,0.413,5.46E-07,0.2685,,
84,1.088,0.2197,0.4169,5.43E-07,0.2673,,
85,1.0861,0.2126,0.4206,5.40E-07,0.2661,,
86,1.084,0.2055,0.4243,5.37E-07,0.2649,,
87,1.0818,0.1984,0.4278,5.34E-07,0.2637,,
88,1.0796,0.1918,0.4312,5.31E-07,0.2625,,
89,1.0772,0.1852,0.4345,5.28E-07,0.2613,,
90,1.0748,0.1786,0.4377,5.25E-07,0.2601,,
91,1.0722,0.1721,0.4408,5.22E-07,0.259,,
92,1.0696,0.1659,0.4438,5.19E-07,0.2578,,
93,1.0669,0.1599,0.4467,5.16E-07,0.2567,,
94,1.0641,0.154,0.4495,5.14E-07,0.2556,,
95,1.0612,0.1481,0.4522,5.11E-07,0.2544,,
96,1.0583,0.1422,0.4548,5.08E-07,0.2534,,
97,1.0553,0.1369,0.4573,5.05E-07,0.2523,,
98,1.0522,0.1317,0.4597,5.03E-07,0.2512,,
99,1.0491,0.1264,0.4621,5.00E-07,0.2502,,
100,1.0459,0.1212,0.4643,4.98E-07,0.2491,,
101,1.0426,0.1162,0.4664,4.95E-07,0.2481,,
102,1.0393,0.1116,0.4685,4.93E-07,0.2472,,
103,1.036,0.1071,0.4704,4.91E-07,0.2462,,
104,1.0326,0.1025,0.4723,4.88E-07,0.2452,,
105,1.0291,0.0979,0.4741,4.86E-07,0.2443,,
106,1.0256,0.0937,0.4758,4.84E-07,0.2433,,
107,1.0221,0.0899,0.4775,4.81E-07,0.2423,,
108,1.0185,0.086,0.479,4.79E-07,0.2414,,
109,1.0148,0.0821,0.4805,4.77E-07,0.2404,,
110,1.0112,0.0783,0.4819,4.75E-07,0.2394,,
111,1.0075,0.0746,0.4832,4.73E-07,0.2385,,
112,1.0037,0.0714,0.4845,4.70E-07,0.2375,,
113,1,0.0683,0.4856,4.68E-07,0.2366,,
114,0.9962,0.0651,0.4867,4.66E-07,0.2357,,
115,0.9923,0.0619,0.4878,4.64E-07,0.2347,,
116,0.9885,0.0587,0.4887,4.62E-07,0.2338,,
117,0.9846,0.0561,0.4896,4.60E-07,0.2329,,
118,0.9807,0.0535,0.4905,4.58E-07,0.2319,,
119,0.9768,0.0509,0.4913,4.56E-07,0.231,,
