Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
767,0.692,0,0.2876,6.65E-07,0,,
768,0.6915,0,0.2872,6.65E-07,0,,
769,0.6909,0,0.2869,6.64E-07,0,,
770,0.6903,0,0.2866,6.64E-07,0,,
771,0.6898,0,0.2862,6.63E-07,0,,
772,0.6892,0,0.2859,6.63E-07,0,,
773,0.6886,0,0.2856,6.63E-07,0,,
774,0.6881,0,0.2852,6.62E-07,0,,
775,0.6875,0,0.2849,6.62E-07,0,,
776,0.6869,0,0.2846,6.61E-07,0,,
777,0.6864,0,0.2842,6.61E-07,0,,
778,0.6858,0,0.2839,6.60E-07,0,,
779,0.6853,0,0.2836,6.60E-07,0,,
780,0.6847,0,0.2833,6.60E-07,0,,
781,0.6841,0,0.2829,6.59E-07,0,,
782,0.6836,0,0.2826,6.59E-07,0,,
783,0.683,0,0.2823,6.58E-07,0,,
784,0.6824,0,0.2819,6.58E-07,0,,
785,0.6819,0,0.2816,6.57E-07,0,,
786,0.6813,0,0.2813,6.57E-07,0,,
787,0.6807,0,0.281,6.57E-07,0,,
788,0.6802,0,0.2806,6.56E-07,0,,
789,0.6796,0,0.2803,6.56E-07,0,,
790,0.679,0,0.28,6.55E-07,0,,
791,0.6785,0,0.2796,6.55E-07,0,,
792,0.6779,0,0.2793,6.55E-07,0,,
793,0.6773,0,0.279,6.54E-07,0,,
794,0.6768,0,0.2787,6.54E-07,0,,
795,0.6762,0,0.2784,6.53E-07,0,,
796,0.6756,0,0.2781,6.53E-07,0,,
797,0.6751,0,0.2778,6.52E-07,0,,
798,0.6745,0,0.2775,6.52E-07,0,,
799,0.674,0,0.2771,6.52E-07,0,,
800,0.6734,0,0.2768,6.51E-07,0,,
801,0.6728,0,0.2765,6.51E-07,0,,
802,0.6723,0,0.2762,6.50E-07,0,,
803,0.6717,0,0.2759,6.50E-07,0,,
804,0.6711,0,0.2756,6.50E-07,0,,
805,0.6706,0,0.2753,6.49E-07,0,,
806,0.6701,0,0.275,6.49E-07,0,,
807,0.6695,0,0.2746,6.48E-07,0,,
808,0.669,0,0.2743,6.48E-07,0,,
809,0.6685,0,0.274,6.48E-07,0,,
810,0.668,0,0.2737,6.47E-07,0,,
811,0.6675,0,0.2734,6.47E-07,0,,
812,0.667,0,0.2731,6.46E-07,0,,
813,0.6664,0,0.2728,6.46E-07,0,,
814,0.6659,0,0.2725,6.46E-07,0,,
815,0.6654,0,0.2722,6.45E-07,0,,
816,0.6649,0,0.2719,6.45E-07,0,,
817,0.6644,0,0.2716,6.44E-07,0,,
818,0.6639,0,0.2713,6.44E-07,0,,
819,0.6633,0,0.271,6.44E-07,0,,
820,0.6628,0,0.2707,6.43E-07,0,,
821,0.6623,0,0.2704,6.43E-07,0,,
822,0.6618,0,0.2701,6.42E-07,0,,
823,0.6613,0,0.2698,6.42E-07,0,,
824,0.6607,0,0.2695,6.42E-07,0,,
825,0.6602,0,0.2692,6.41E-07,0,,
826,0.6597,0,0.2689,6.41E-07,0,,
827,0.6592,0,0.2686,6.41E-07,0,,
828,0.6587,0,0.2683,6.40E-07,0,,
829,0.6582,0,0.268,6.40E-07,0,,
